"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Dec 25 17:05:59 GMT 2024","Wed Dec 25 17:06:00 GMT 2024","111","","","","","","Create a book without a title","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Wed Dec 25 17:06:00 GMT 2024","Wed Dec 25 17:06:00 GMT 2024","103","","","","","","Update a non-existing book ID with a duplicate book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Wed Dec 25 17:06:00 GMT 2024","Wed Dec 25 17:06:00 GMT 2024","98","","","","","","Create a book with user level credentials","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Wed Dec 25 17:06:00 GMT 2024","Wed Dec 25 17:06:05 GMT 2024","4916","","","","","","Successfully initiate a product return","As a user
  I want to initiate a product return using the UI
  So that the return is processed by the system"
"failed","Wed Dec 25 17:06:00 GMT 2024","Wed Dec 25 17:06:00 GMT 2024","117","","","","","","Create a book with whitespace titles","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Wed Dec 25 17:06:00 GMT 2024","Wed Dec 25 17:06:00 GMT 2024","97","","","","","","Update the book with existing book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Wed Dec 25 17:06:00 GMT 2024","Wed Dec 25 17:06:00 GMT 2024","85","","","","","","Update the book with user level credentials","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"broken","Wed Dec 25 17:06:00 GMT 2024","Wed Dec 25 17:06:00 GMT 2024","122","","","","","","Update a non-existing book ID","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Wed Dec 25 17:05:59 GMT 2024","Wed Dec 25 17:05:59 GMT 2024","748","","","","","","Successfully create a new book","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
