"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 01 08:30:33 GMT 2025","Wed Jan 01 08:30:33 GMT 2025","121","","","","","","Update a non-existing book ID","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Wed Jan 01 08:30:32 GMT 2025","Wed Jan 01 08:30:32 GMT 2025","102","","","","","","Retrieve a non-existent book by ID","As a user
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"failed","Wed Jan 01 08:30:33 GMT 2025","Wed Jan 01 08:30:33 GMT 2025","124","","","","","","Create a book without a title","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Wed Jan 01 08:30:34 GMT 2025","Wed Jan 01 08:30:34 GMT 2025","118","","","","","","Update a book with book title containing leading and trailing whitespaces but an existing book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Wed Jan 01 08:30:34 GMT 2025","Wed Jan 01 08:30:35 GMT 2025","158","","","","","","Non-logged-in user access","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Wed Jan 01 08:30:32 GMT 2025","Wed Jan 01 08:30:33 GMT 2025","127","","","","","","Successfully create a new book","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Wed Jan 01 08:30:33 GMT 2025","Wed Jan 01 08:30:33 GMT 2025","91","","","","","","Insert the same book multiple times","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Wed Jan 01 08:30:34 GMT 2025","Wed Jan 01 08:30:34 GMT 2025","115","","","","","","Update a non-existing book ID with a duplicate book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Wed Jan 01 08:30:32 GMT 2025","Wed Jan 01 08:30:32 GMT 2025","118","","","","","","Retrieve a specific book by ID","As a user
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"passed","Wed Jan 01 08:30:42 GMT 2025","Wed Jan 01 08:30:44 GMT 2025","2169","","","","","","Successful registration with dynamic email","As a new user
  I want to register an account
  So that I can log in and use the platform"
"passed","Wed Jan 01 08:30:33 GMT 2025","Wed Jan 01 08:30:33 GMT 2025","92","","","","","","Create a book with user level credentials","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Wed Jan 01 08:30:34 GMT 2025","Wed Jan 01 08:30:34 GMT 2025","141","","","","","","Successfully update an existing book","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Wed Jan 01 08:30:33 GMT 2025","Wed Jan 01 08:30:33 GMT 2025","106","","","","","","Create a book with whitespace titles","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Wed Jan 01 08:30:44 GMT 2025","Wed Jan 01 08:30:47 GMT 2025","3053","","","","","","Successfully initiate a product return","As a user
  I want to initiate a product return using the UI
  So that the return is processed by the system"
"passed","Wed Jan 01 08:30:33 GMT 2025","Wed Jan 01 08:30:34 GMT 2025","229","","","","","","Update the book with user level credentials","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Wed Jan 01 08:30:47 GMT 2025","Wed Jan 01 08:30:51 GMT 2025","3720","","","","","","Add a single product to the wishlist","As a user,
    I want to add products to my wishlist 
    so I can review them later."
"failed","Wed Jan 01 08:30:34 GMT 2025","Wed Jan 01 08:30:34 GMT 2025","146","","","","","","Update a book with an author name containing not only letters(when numbers and symbols are also there)","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Wed Jan 01 08:30:35 GMT 2025","Wed Jan 01 08:30:42 GMT 2025","7048","","","","","","User tries to add an ""Out of Stock"" product to the cart from the product list page",""
"passed","Wed Jan 01 08:30:33 GMT 2025","Wed Jan 01 08:30:33 GMT 2025","126","","","","","","Update a book with existing book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Wed Jan 01 08:30:33 GMT 2025","Wed Jan 01 08:30:33 GMT 2025","84","","","","","","Attempt to create a book without being logged in","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Wed Jan 01 08:30:34 GMT 2025","Wed Jan 01 08:30:34 GMT 2025","137","","","","","","Update a book with an empty author name","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"broken","Wed Jan 01 08:30:42 GMT 2025","Wed Jan 01 08:30:42 GMT 2025","6","","","","","","Add a product to the cart and verify in the shopping cart","I want to add a product to the cart,
  Verify the product is displayed in the shopping cart,
  And navigate back to the homepage,
  So that I can confirm the cart and navigation functionality work as expected."
"failed","Wed Jan 01 08:30:33 GMT 2025","Wed Jan 01 08:30:33 GMT 2025","90","","","","","","Create a book without an author","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Wed Jan 01 08:30:31 GMT 2025","Wed Jan 01 08:30:32 GMT 2025","776","","","","","","Retrieve all books","As a user
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"failed","Wed Jan 01 08:30:33 GMT 2025","Wed Jan 01 08:30:33 GMT 2025","100","","","","","","Create a book with numbers in the author field","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
