"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 02 11:28:28 GMT 2025","Thu Jan 02 11:28:28 GMT 2025","123","","","","","","Update a book with an empty author name","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Thu Jan 02 11:28:27 GMT 2025","Thu Jan 02 11:28:27 GMT 2025","117","","","","","","Insert the same book multiple times","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Thu Jan 02 11:28:46 GMT 2025","Thu Jan 02 11:28:49 GMT 2025","3155","","","","","","Successful registration with dynamic email","As a new user
  I want to register an account
  So that I can log in and use the platform"
"failed","Thu Jan 02 11:28:28 GMT 2025","Thu Jan 02 11:28:28 GMT 2025","110","","","","","","Non-logged-in user access","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Thu Jan 02 11:28:26 GMT 2025","Thu Jan 02 11:28:26 GMT 2025","113","","","","","","Create a book without a title","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Thu Jan 02 11:28:27 GMT 2025","Thu Jan 02 11:28:27 GMT 2025","140","","","","","","Update a non-existing book ID","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Thu Jan 02 11:28:28 GMT 2025","Thu Jan 02 11:28:28 GMT 2025","173","","","","","","Update a book with book title containing leading and trailing whitespaces but an existing book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Thu Jan 02 11:28:26 GMT 2025","Thu Jan 02 11:28:26 GMT 2025","148","","","","","","Retrieve a specific book by ID","As a user
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"passed","Thu Jan 02 11:28:26 GMT 2025","Thu Jan 02 11:28:27 GMT 2025","107","","","","","","Create a book with user level credentials","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Thu Jan 02 11:28:49 GMT 2025","Thu Jan 02 11:28:54 GMT 2025","4965","","","","","","Successfully initiate a product return","As a user
  I want to initiate a product return using the UI
  So that the return is processed by the system"
"passed","Thu Jan 02 11:28:27 GMT 2025","Thu Jan 02 11:28:27 GMT 2025","21","","","","","","Attempt to create a book without being logged in","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Thu Jan 02 11:28:27 GMT 2025","Thu Jan 02 11:28:27 GMT 2025","94","","","","","","Create a book with numbers in the author field","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Thu Jan 02 11:28:27 GMT 2025","Thu Jan 02 11:28:27 GMT 2025","129","","","","","","Update a book with existing book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Thu Jan 02 11:28:26 GMT 2025","Thu Jan 02 11:28:26 GMT 2025","106","","","","","","Create a book with whitespace titles","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Thu Jan 02 11:28:54 GMT 2025","Thu Jan 02 11:29:01 GMT 2025","6368","","","","","","Add a single product to the wishlist","As a user,
    I want to add products to my wishlist 
    so I can review them later."
"failed","Thu Jan 02 11:28:28 GMT 2025","Thu Jan 02 11:28:28 GMT 2025","112","","","","","","Update a book with an author name containing not only letters(when numbers and symbols are also there)","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Thu Jan 02 11:28:25 GMT 2025","Thu Jan 02 11:28:26 GMT 2025","809","","","","","","Retrieve all books","As a user
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"passed","Thu Jan 02 11:28:36 GMT 2025","Thu Jan 02 11:28:46 GMT 2025","10534","","","","","","Add a product to the cart and verify in the shopping cart","I want to add a product to the cart,
  Verify the product is displayed in the shopping cart,
  And navigate back to the homepage,
  So that I can confirm the cart and navigation functionality work as expected."
"failed","Thu Jan 02 11:28:27 GMT 2025","Thu Jan 02 11:28:28 GMT 2025","115","","","","","","Update a non-existing book ID with a duplicate book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Thu Jan 02 11:28:27 GMT 2025","Thu Jan 02 11:28:27 GMT 2025","205","","","","","","Update the book with user level credentials","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Thu Jan 02 11:28:26 GMT 2025","Thu Jan 02 11:28:26 GMT 2025","146","","","","","","Successfully create a new book","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Thu Jan 02 11:28:28 GMT 2025","Thu Jan 02 11:28:36 GMT 2025","7514","","","","","","User tries to add an ""Out of Stock"" product to the cart from the product list page",""
"passed","Thu Jan 02 11:28:26 GMT 2025","Thu Jan 02 11:28:26 GMT 2025","117","","","","","","Retrieve a non-existent book by ID","As a user
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"failed","Thu Jan 02 11:28:27 GMT 2025","Thu Jan 02 11:28:27 GMT 2025","86","","","","","","Create a book without an author","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Thu Jan 02 11:28:26 GMT 2025","Thu Jan 02 11:28:26 GMT 2025","111","","","","","","Retrieve a book by ID as a user","As a user
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"passed","Thu Jan 02 11:28:28 GMT 2025","Thu Jan 02 11:28:28 GMT 2025","139","","","","","","Successfully update an existing book","As a user 
I want to update a book using API
So that the updated book is stored in the system"
