"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Dec 29 08:44:03 GMT 2024","Sun Dec 29 08:44:03 GMT 2024","109","","","","","","Create a book without a title","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Sun Dec 29 08:44:03 GMT 2024","Sun Dec 29 08:44:03 GMT 2024","118","","","","","","Update a non-existing book ID with a duplicate book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Sun Dec 29 08:44:03 GMT 2024","Sun Dec 29 08:44:03 GMT 2024","112","","","","","","Create a book with whitespace titles","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"broken","Sun Dec 29 08:44:10 GMT 2024","Sun Dec 29 08:44:45 GMT 2024","34784","","","","","","Add a single product to the wishlist","As a user,
    I want to add products to my wishlist 
    so I can review them later."
"passed","Sun Dec 29 08:44:03 GMT 2024","Sun Dec 29 08:44:03 GMT 2024","119","","","","","","Update a book with existing book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Sun Dec 29 08:44:03 GMT 2024","Sun Dec 29 08:44:03 GMT 2024","99","","","","","","Update the book with user level credentials","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Sun Dec 29 08:44:03 GMT 2024","Sun Dec 29 08:44:03 GMT 2024","94","","","","","","Create a book with user level credentials","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"broken","Sun Dec 29 08:44:04 GMT 2024","Sun Dec 29 08:44:04 GMT 2024","11","","","","","","Non-logged-in user access","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Sun Dec 29 08:44:03 GMT 2024","Sun Dec 29 08:44:04 GMT 2024","150","","","","","","Update a book with an empty author name","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Sun Dec 29 08:44:03 GMT 2024","Sun Dec 29 08:44:03 GMT 2024","16","","","","","","Update a book with an author name containing not only letters(when numbers and symbols are also there)","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Sun Dec 29 08:44:02 GMT 2024","Sun Dec 29 08:44:03 GMT 2024","749","","","","","","Successfully create a new book","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Sun Dec 29 08:44:05 GMT 2024","Sun Dec 29 08:44:10 GMT 2024","4705","","","","","","Successfully initiate a product return","As a user
  I want to initiate a product return using the UI
  So that the return is processed by the system"
"passed","Sun Dec 29 08:44:03 GMT 2024","Sun Dec 29 08:44:03 GMT 2024","123","","","","","","Update a non-existing book ID","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Sun Dec 29 08:44:04 GMT 2024","Sun Dec 29 08:44:04 GMT 2024","11","","","","","","Update a book with author name containing leading and trailing whitespaces","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"broken","Sun Dec 29 08:44:03 GMT 2024","Sun Dec 29 08:44:03 GMT 2024","37","","","","","","Successfully update an existing book","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Sun Dec 29 08:44:04 GMT 2024","Sun Dec 29 08:44:05 GMT 2024","1519","","","","","","Add a product to the cart and verify in the shopping cart","I want to add a product to the cart,
  Verify the product is displayed in the shopping cart,
  And navigate back to the homepage,
  So that I can confirm the cart and navigation functionality work as expected."
