"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 03 17:44:20 GMT 2025","Fri Jan 03 17:44:20 GMT 2025","140","","","","","","Update a non-existing book ID","As an admin 
    I want to update a book using API
    So that the updated book is stored in the system"
"failed","Fri Jan 03 17:44:19 GMT 2025","Fri Jan 03 17:44:19 GMT 2025","125","","","","","","DELETE by User","As a user
  I want to delete a book using the API
  So that I can test access control for deletion"
"passed","Fri Jan 03 17:45:34 GMT 2025","Fri Jan 03 17:45:53 GMT 2025","19093","","","","","","Successfully initiate a product return","As a user
  I want to initiate a product return using the UI
  So that the return is processed by the system"
"passed","Fri Jan 03 17:44:20 GMT 2025","Fri Jan 03 17:44:20 GMT 2025","113","","","","","","Update a book with existing book title","As an admin 
    I want to update a book using API
    So that the updated book is stored in the system"
"passed","Fri Jan 03 17:45:53 GMT 2025","Fri Jan 03 17:46:05 GMT 2025","11369","","","","","","Add a single product to the wishlist","As a user,
    I want to add products to my wishlist 
    so I can review them later."
"failed","Fri Jan 03 17:44:21 GMT 2025","Fri Jan 03 17:44:21 GMT 2025","145","","","","","","Update a book with an author name containing not only letters(when numbers and symbols are also there)","As an admin 
    I want to update a book using API
    So that the updated book is stored in the system"
"failed","Fri Jan 03 17:44:19 GMT 2025","Fri Jan 03 17:44:20 GMT 2025","89","","","","","","Retrieve a book by ID","As a user
  I want to retrieve books using the API
  So that I can view details of a specific book"
"passed","Fri Jan 03 17:44:19 GMT 2025","Fri Jan 03 17:44:19 GMT 2025","199","","","","","","Retrieve all books","As an admin
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"failed","Fri Jan 03 17:44:21 GMT 2025","Fri Jan 03 17:44:21 GMT 2025","89","","","","","","Non-logged-in user access","As a guest user
    I should not be able to update a book using the API
    So that only authorized users can update books"
"passed","Fri Jan 03 17:44:19 GMT 2025","Fri Jan 03 17:44:19 GMT 2025","31","","","","","","DELETE by Non-logged-in User","As a user
  I want to delete a book using the API
  So that I can test access control for deletion"
"passed","Fri Jan 03 17:44:21 GMT 2025","Fri Jan 03 17:44:21 GMT 2025","81","","","","","","Update the book with user level credentials","As a user
    I should not be able to update a book using the API
    So that only authorized users can update books"
"failed","Fri Jan 03 17:44:19 GMT 2025","Fri Jan 03 17:44:19 GMT 2025","134","","","","","","DELETE Non-existent Book","As an admin
  I want to delete a book using the API
  So that the book is removed from the system"
"passed","Fri Jan 03 17:45:31 GMT 2025","Fri Jan 03 17:45:34 GMT 2025","3214","","","","","","Successful registration with dynamic email","As a new user
  I want to register an account
  So that I can log in and use the platform"
"passed","Fri Jan 03 17:44:21 GMT 2025","Fri Jan 03 17:44:21 GMT 2025","167","","","","","","Successfully update an existing book","As an admin 
    I want to update a book using API
    So that the updated book is stored in the system"
"failed","Fri Jan 03 17:44:20 GMT 2025","Fri Jan 03 17:44:21 GMT 2025","126","","","","","","Update a non-existing book ID with a duplicate book title","As an admin 
    I want to update a book using API
    So that the updated book is stored in the system"
"passed","Fri Jan 03 17:44:56 GMT 2025","Fri Jan 03 17:45:31 GMT 2025","35407","","","","","","Successfully checkout a cart","As a user
  I want to complete the checkout process
  So that I can purchase items in my cart"
"failed","Fri Jan 03 17:44:20 GMT 2025","Fri Jan 03 17:44:20 GMT 2025","107","","","","","","Create a book with whitespace titles","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Fri Jan 03 17:44:20 GMT 2025","Fri Jan 03 17:44:20 GMT 2025","97","","","","","","Create a book with numbers in the author field","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Fri Jan 03 17:44:18 GMT 2025","Fri Jan 03 17:44:19 GMT 2025","745","","","","","","DELETE Happy Path","As an admin
  I want to delete a book using the API
  So that the book is removed from the system"
"passed","Fri Jan 03 17:44:19 GMT 2025","Fri Jan 03 17:44:19 GMT 2025","156","","","","","","Retrieve a specific book by ID","As an admin
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"passed","Fri Jan 03 17:44:31 GMT 2025","Fri Jan 03 17:44:56 GMT 2025","24279","","","","","","Add a product to the cart and verify in the shopping cart","I want to add a product to the cart,
  Verify the product is displayed in the shopping cart,
  And navigate back to the homepage,
  So that I can confirm the cart and navigation functionality work as expected."
"passed","Fri Jan 03 17:44:26 GMT 2025","Fri Jan 03 17:44:31 GMT 2025","5384","","","","","","User comments on a blog post and replies to their comment","As a user
  I want to view, comment, and reply on a blog post
  So that I can engage with the content and community"
"passed","Fri Jan 03 17:44:20 GMT 2025","Fri Jan 03 17:44:20 GMT 2025","107","","","","","","Successfully create a new book","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Fri Jan 03 17:44:20 GMT 2025","Fri Jan 03 17:44:20 GMT 2025","95","","","","","","Create a book without an author","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Fri Jan 03 17:44:19 GMT 2025","Fri Jan 03 17:44:19 GMT 2025","110","","","","","","Retrieve a non-existent book by ID","As an admin
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"passed","Fri Jan 03 17:44:20 GMT 2025","Fri Jan 03 17:44:20 GMT 2025","13","","","","","","Attempt to create a book without being logged in","As a guest user
  I should not be able to create a new book using the API
  So that only authorized users can create books"
"passed","Fri Jan 03 17:44:20 GMT 2025","Fri Jan 03 17:44:20 GMT 2025","107","","","","","","Insert the same book multiple times","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
