"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 03 07:08:44 GMT 2025","Fri Jan 03 07:09:03 GMT 2025","19843","","","","","","Successfully checkout a cart","As a user
  I want to complete the checkout process
  So that I can purchase items in my cart"
"failed","Fri Jan 03 07:08:31 GMT 2025","Fri Jan 03 07:08:31 GMT 2025","105","","","","","","Create a book with whitespace titles","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Fri Jan 03 07:08:31 GMT 2025","Fri Jan 03 07:08:31 GMT 2025","101","","","","","","Insert the same book multiple times","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Fri Jan 03 07:08:33 GMT 2025","Fri Jan 03 07:08:36 GMT 2025","3223","","","","","","User tries to add an ""Out of Stock"" product to the cart from the product list page",""
"passed","Fri Jan 03 07:08:31 GMT 2025","Fri Jan 03 07:08:31 GMT 2025","131","","","","","","Successfully create a new book","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Fri Jan 03 07:08:31 GMT 2025","Fri Jan 03 07:08:31 GMT 2025","87","","","","","","Create a book without an author","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Fri Jan 03 07:08:36 GMT 2025","Fri Jan 03 07:08:44 GMT 2025","7865","","","","","","Add a product to the cart and verify in the shopping cart","I want to add a product to the cart,
  Verify the product is displayed in the shopping cart,
  And navigate back to the homepage,
  So that I can confirm the cart and navigation functionality work as expected."
"failed","Fri Jan 03 07:08:32 GMT 2025","Fri Jan 03 07:08:32 GMT 2025","114","","","","","","Update a book with an author name containing not only letters(when numbers and symbols are also there)","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 07:08:30 GMT 2025","Fri Jan 03 07:08:30 GMT 2025","110","","","","","","Retrieve a non-existent book by ID","As a user
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"failed","Fri Jan 03 07:08:30 GMT 2025","Fri Jan 03 07:08:31 GMT 2025","104","","","","","","Retrieve a book by ID as a user","As a user
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"passed","Fri Jan 03 07:08:31 GMT 2025","Fri Jan 03 07:08:32 GMT 2025","143","","","","","","Update a book with existing book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 07:08:31 GMT 2025","Fri Jan 03 07:08:31 GMT 2025","28","","","","","","Attempt to create a book without being logged in","As a guest user
  I should not be able to create a new book using the API
  So that only authorized users can create books"
"failed","Fri Jan 03 07:08:32 GMT 2025","Fri Jan 03 07:08:33 GMT 2025","112","","","","","","Non-logged-in user access","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 07:09:08 GMT 2025","Fri Jan 03 07:09:12 GMT 2025","3964","","","","","","Add a single product to the wishlist","As a user,
    I want to add products to my wishlist 
    so I can review them later."
"failed","Fri Jan 03 07:08:32 GMT 2025","Fri Jan 03 07:08:32 GMT 2025","113","","","","","","Update a book with book title containing leading and trailing whitespaces but an existing book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 07:08:31 GMT 2025","Fri Jan 03 07:08:31 GMT 2025","131","","","","","","Update a non-existing book ID","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Fri Jan 03 07:08:32 GMT 2025","Fri Jan 03 07:08:32 GMT 2025","133","","","","","","Update a non-existing book ID with a duplicate book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 07:09:03 GMT 2025","Fri Jan 03 07:09:05 GMT 2025","1743","","","","","","Successful registration with dynamic email","As a new user
  I want to register an account
  So that I can log in and use the platform"
"failed","Fri Jan 03 07:08:31 GMT 2025","Fri Jan 03 07:08:31 GMT 2025","92","","","","","","Create a book with numbers in the author field","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Fri Jan 03 07:08:31 GMT 2025","Fri Jan 03 07:08:31 GMT 2025","98","","","","","","Create a book without a title","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Fri Jan 03 07:08:32 GMT 2025","Fri Jan 03 07:08:32 GMT 2025","130","","","","","","Successfully update an existing book","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 07:09:05 GMT 2025","Fri Jan 03 07:09:08 GMT 2025","2803","","","","","","Successfully initiate a product return","As a user
  I want to initiate a product return using the UI
  So that the return is processed by the system"
"passed","Fri Jan 03 07:08:29 GMT 2025","Fri Jan 03 07:08:30 GMT 2025","844","","","","","","Retrieve all books","As a user
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"passed","Fri Jan 03 07:08:30 GMT 2025","Fri Jan 03 07:08:30 GMT 2025","133","","","","","","Retrieve a specific book by ID","As a user
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"passed","Fri Jan 03 07:08:31 GMT 2025","Fri Jan 03 07:08:31 GMT 2025","118","","","","","","Create a book with user level credentials","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Fri Jan 03 07:08:32 GMT 2025","Fri Jan 03 07:08:32 GMT 2025","116","","","","","","Update a book with an empty author name","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 07:08:32 GMT 2025","Fri Jan 03 07:08:32 GMT 2025","215","","","","","","Update the book with user level credentials","As a user 
I want to update a book using API
So that the updated book is stored in the system"
