"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 26 11:47:03 GMT 2024","Thu Dec 26 11:47:03 GMT 2024","115","","","","","","Update a non-existing book ID","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Thu Dec 26 11:47:03 GMT 2024","Thu Dec 26 11:47:03 GMT 2024","98","","","","","","Update a non-existing book ID with a duplicate book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Thu Dec 26 11:47:03 GMT 2024","Thu Dec 26 11:47:03 GMT 2024","124","","","","","","Create a book without a title","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Thu Dec 26 11:47:03 GMT 2024","Thu Dec 26 11:47:03 GMT 2024","118","","","","","","Update the book with existing book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Thu Dec 26 11:47:03 GMT 2024","Thu Dec 26 11:47:09 GMT 2024","5161","","","","","","Successfully initiate a product return","As a user
  I want to initiate a product return using the UI
  So that the return is processed by the system"
"passed","Thu Dec 26 11:47:02 GMT 2024","Thu Dec 26 11:47:03 GMT 2024","771","","","","","","Successfully create a new book","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Thu Dec 26 11:47:03 GMT 2024","Thu Dec 26 11:47:03 GMT 2024","115","","","","","","Create a book with whitespace titles","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Thu Dec 26 11:47:03 GMT 2024","Thu Dec 26 11:47:03 GMT 2024","96","","","","","","Update the book with user level credentials","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Thu Dec 26 11:47:03 GMT 2024","Thu Dec 26 11:47:03 GMT 2024","89","","","","","","Create a book with user level credentials","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
