"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jan 03 17:07:21 GMT 2025","Fri Jan 03 17:07:21 GMT 2025","96","","","","","","Create a book without a title","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Fri Jan 03 17:07:22 GMT 2025","Fri Jan 03 17:07:22 GMT 2025","143","","","","","","Successfully update an existing book","As an admin 
    I want to update a book using API
    So that the updated book is stored in the system"
"passed","Fri Jan 03 17:08:00 GMT 2025","Fri Jan 03 17:08:23 GMT 2025","22711","","","","","","Add a product to the cart and verify in the shopping cart","I want to add a product to the cart,
  Verify the product is displayed in the shopping cart,
  And navigate back to the homepage,
  So that I can confirm the cart and navigation functionality work as expected."
"failed","Fri Jan 03 17:07:20 GMT 2025","Fri Jan 03 17:07:20 GMT 2025","121","","","","","","DELETE Non-existent Book","As an admin
  I want to delete a book using the API
  So that the book is removed from the system"
"broken","Fri Jan 03 17:07:26 GMT 2025","Fri Jan 03 17:08:00 GMT 2025","34572","","","","","","User comments on a blog post and replies to their comment","As a user
  I want to view, comment, and reply on a blog post
  So that I can engage with the content and community"
"failed","Fri Jan 03 17:07:21 GMT 2025","Fri Jan 03 17:07:21 GMT 2025","98","","","","","","Create a book without an author","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"broken","Fri Jan 03 17:09:15 GMT 2025","Fri Jan 03 17:09:24 GMT 2025","9447","","","","","","Add a single product to the wishlist","As a user,
    I want to add products to my wishlist 
    so I can review them later."
"passed","Fri Jan 03 17:07:20 GMT 2025","Fri Jan 03 17:07:20 GMT 2025","175","","","","","","Retrieve all books","As an admin
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"passed","Fri Jan 03 17:07:21 GMT 2025","Fri Jan 03 17:07:21 GMT 2025","114","","","","","","Create a book with user level credentials","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Fri Jan 03 17:07:20 GMT 2025","Fri Jan 03 17:07:20 GMT 2025","119","","","","","","Retrieve a specific book by ID","As an admin
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
