"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 26 11:44:00 GMT 2024","Thu Dec 26 11:44:03 GMT 2024","3443","","","","","","Successfully initiate a product return","As a user
  I want to initiate a product return using the UI
  So that the return is processed by the system"
"failed","Thu Dec 26 11:43:59 GMT 2024","Thu Dec 26 11:43:59 GMT 2024","149","","","","","","Create a book with whitespace titles","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Thu Dec 26 11:43:59 GMT 2024","Thu Dec 26 11:43:59 GMT 2024","97","","","","","","Create a book with user level credentials","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"broken","Thu Dec 26 11:43:59 GMT 2024","Thu Dec 26 11:43:59 GMT 2024","113","","","","","","Update a non-existing book ID","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Thu Dec 26 11:43:59 GMT 2024","Thu Dec 26 11:44:00 GMT 2024","100","","","","","","Update a non-existing book ID with a duplicate book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Thu Dec 26 11:43:59 GMT 2024","Thu Dec 26 11:43:59 GMT 2024","148","","","","","","Create a book without a title","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Thu Dec 26 11:43:59 GMT 2024","Thu Dec 26 11:43:59 GMT 2024","117","","","","","","Update the book with existing book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Thu Dec 26 11:43:58 GMT 2024","Thu Dec 26 11:43:59 GMT 2024","796","","","","","","Successfully create a new book","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Thu Dec 26 11:43:59 GMT 2024","Thu Dec 26 11:43:59 GMT 2024","107","","","","","","Update the book with user level credentials","As a user 
I want to update a book using API
So that the updated book is stored in the system"
