"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 03 15:40:12 GMT 2025","Fri Jan 03 15:40:12 GMT 2025","121","","","","","","Update a book with existing book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Fri Jan 03 15:40:11 GMT 2025","Fri Jan 03 15:40:11 GMT 2025","108","","","","","","DELETE Non-existent Book","As an admin
  I want to delete a book using the API
  So that the book is removed from the system"
"passed","Fri Jan 03 15:40:58 GMT 2025","Fri Jan 03 15:41:19 GMT 2025","20428","","","","","","Successfully checkout a cart","As a user
  I want to complete the checkout process
  So that I can purchase items in my cart"
"passed","Fri Jan 03 15:40:50 GMT 2025","Fri Jan 03 15:40:58 GMT 2025","8105","","","","","","Add a product to the cart and verify in the shopping cart","I want to add a product to the cart,
  Verify the product is displayed in the shopping cart,
  And navigate back to the homepage,
  So that I can confirm the cart and navigation functionality work as expected."
"failed","Fri Jan 03 15:40:12 GMT 2025","Fri Jan 03 15:40:12 GMT 2025","97","","","","","","Create a book without a title","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Fri Jan 03 15:40:13 GMT 2025","Fri Jan 03 15:40:13 GMT 2025","126","","","","","","Update a book with book title containing leading and trailing whitespaces but an existing book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Fri Jan 03 15:40:13 GMT 2025","Fri Jan 03 15:40:14 GMT 2025","216","","","","","","Non-logged-in user access","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 15:40:12 GMT 2025","Fri Jan 03 15:40:12 GMT 2025","139","","","","","","Update a non-existing book ID","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Fri Jan 03 15:40:11 GMT 2025","Fri Jan 03 15:40:11 GMT 2025","169","","","","","","Retrieve all books","As an admin
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"failed","Fri Jan 03 15:40:13 GMT 2025","Fri Jan 03 15:40:13 GMT 2025","129","","","","","","Update a book with an empty author name","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 15:41:20 GMT 2025","Fri Jan 03 15:41:23 GMT 2025","2627","","","","","","Successfully initiate a product return","As a user
  I want to initiate a product return using the UI
  So that the return is processed by the system"
"failed","Fri Jan 03 15:40:10 GMT 2025","Fri Jan 03 15:40:11 GMT 2025","882","","","","","","DELETE Happy Path","As an admin
  I want to delete a book using the API
  So that the book is removed from the system"
"passed","Fri Jan 03 15:40:12 GMT 2025","Fri Jan 03 15:40:12 GMT 2025","101","","","","","","Create a book with user level credentials","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Fri Jan 03 15:41:23 GMT 2025","Fri Jan 03 15:41:26 GMT 2025","3090","","","","","","Add a single product to the wishlist","As a user,
    I want to add products to my wishlist 
    so I can review them later."
"broken","Fri Jan 03 15:40:16 GMT 2025","Fri Jan 03 15:40:50 GMT 2025","33533","","","","","","User comments on a blog post and replies to their comment","As a user
  I want to view, comment, and reply on a blog post
  So that I can engage with the content and community"
"failed","Fri Jan 03 15:40:11 GMT 2025","Fri Jan 03 15:40:11 GMT 2025","85","","","","","","Retrieve a book by ID","As a user
  I want to retrieve books using the API
  So that I can view details of a specific book"
"failed","Fri Jan 03 15:40:13 GMT 2025","Fri Jan 03 15:40:13 GMT 2025","133","","","","","","Update a non-existing book ID with a duplicate book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 15:40:12 GMT 2025","Fri Jan 03 15:40:13 GMT 2025","199","","","","","","Update the book with user level credentials","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Fri Jan 03 15:40:11 GMT 2025","Fri Jan 03 15:40:11 GMT 2025","163","","","","","","Retrieve a specific book by ID","As an admin
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"failed","Fri Jan 03 15:40:13 GMT 2025","Fri Jan 03 15:40:13 GMT 2025","134","","","","","","Update a book with an author name containing not only letters(when numbers and symbols are also there)","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Fri Jan 03 15:40:12 GMT 2025","Fri Jan 03 15:40:12 GMT 2025","92","","","","","","Create a book with numbers in the author field","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
