"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jan 03 16:06:27 GMT 2025","Fri Jan 03 16:06:28 GMT 2025","97","","","","","","Create a book without a title","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Fri Jan 03 16:06:28 GMT 2025","Fri Jan 03 16:06:28 GMT 2025","98","","","","","","Create a book with whitespace titles","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Fri Jan 03 16:06:27 GMT 2025","Fri Jan 03 16:06:27 GMT 2025","160","","","","","","Retrieve a specific book by ID","As an admin
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"passed","Fri Jan 03 16:07:16 GMT 2025","Fri Jan 03 16:07:38 GMT 2025","21129","","","","","","Successfully checkout a cart","As a user
  I want to complete the checkout process
  So that I can purchase items in my cart"
"failed","Fri Jan 03 16:06:28 GMT 2025","Fri Jan 03 16:06:28 GMT 2025","87","","","","","","Create a book without an author","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Fri Jan 03 16:06:28 GMT 2025","Fri Jan 03 16:06:28 GMT 2025","114","","","","","","Update a book with existing book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Fri Jan 03 16:06:26 GMT 2025","Fri Jan 03 16:06:27 GMT 2025","122","","","","","","DELETE Non-existent Book","As an admin
  I want to delete a book using the API
  So that the book is removed from the system"
"passed","Fri Jan 03 16:06:29 GMT 2025","Fri Jan 03 16:06:29 GMT 2025","134","","","","","","Successfully update an existing book","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 16:06:27 GMT 2025","Fri Jan 03 16:06:27 GMT 2025","121","","","","","","Retrieve a non-existent book by ID","As an admin
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"failed","Fri Jan 03 16:06:26 GMT 2025","Fri Jan 03 16:06:26 GMT 2025","810","","","","","","DELETE Happy Path","As an admin
  I want to delete a book using the API
  So that the book is removed from the system"
"passed","Fri Jan 03 16:07:44 GMT 2025","Fri Jan 03 16:07:48 GMT 2025","4765","","","","","","Add a single product to the wishlist","As a user,
    I want to add products to my wishlist 
    so I can review them later."
"failed","Fri Jan 03 16:06:29 GMT 2025","Fri Jan 03 16:06:29 GMT 2025","178","","","","","","Update a book with book title containing leading and trailing whitespaces but an existing book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Fri Jan 03 16:06:29 GMT 2025","Fri Jan 03 16:06:29 GMT 2025","156","","","","","","Non-logged-in user access","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Fri Jan 03 16:06:28 GMT 2025","Fri Jan 03 16:06:28 GMT 2025","96","","","","","","Create a book with numbers in the author field","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Fri Jan 03 16:06:29 GMT 2025","Fri Jan 03 16:06:29 GMT 2025","145","","","","","","Update a book with an empty author name","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Fri Jan 03 16:06:29 GMT 2025","Fri Jan 03 16:06:29 GMT 2025","133","","","","","","Update a non-existing book ID with a duplicate book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Fri Jan 03 16:06:29 GMT 2025","Fri Jan 03 16:06:29 GMT 2025","136","","","","","","Update a book with an author name containing not only letters(when numbers and symbols are also there)","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Fri Jan 03 16:06:27 GMT 2025","Fri Jan 03 16:06:27 GMT 2025","102","","","","","","Retrieve a book by ID","As a user
  I want to retrieve books using the API
  So that I can view details of a specific book"
"passed","Fri Jan 03 16:06:28 GMT 2025","Fri Jan 03 16:06:29 GMT 2025","208","","","","","","Update the book with user level credentials","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 16:06:28 GMT 2025","Fri Jan 03 16:06:28 GMT 2025","99","","","","","","Insert the same book multiple times","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Fri Jan 03 16:06:28 GMT 2025","Fri Jan 03 16:06:28 GMT 2025","176","","","","","","Update a non-existing book ID","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 16:07:38 GMT 2025","Fri Jan 03 16:07:40 GMT 2025","2510","","","","","","Successful registration with dynamic email","As a new user
  I want to register an account
  So that I can log in and use the platform"
"passed","Fri Jan 03 16:06:27 GMT 2025","Fri Jan 03 16:06:27 GMT 2025","33","","","","","","DELETE by Non-logged-in User","As a user
  I want to delete a book using the API
  So that I can test access control for deletion"
"failed","Fri Jan 03 16:06:27 GMT 2025","Fri Jan 03 16:06:27 GMT 2025","116","","","","","","DELETE by User","As a user
  I want to delete a book using the API
  So that I can test access control for deletion"
"passed","Fri Jan 03 16:07:40 GMT 2025","Fri Jan 03 16:07:44 GMT 2025","3430","","","","","","Successfully initiate a product return","As a user
  I want to initiate a product return using the UI
  So that the return is processed by the system"
"passed","Fri Jan 03 16:07:07 GMT 2025","Fri Jan 03 16:07:16 GMT 2025","9156","","","","","","Add a product to the cart and verify in the shopping cart","I want to add a product to the cart,
  Verify the product is displayed in the shopping cart,
  And navigate back to the homepage,
  So that I can confirm the cart and navigation functionality work as expected."
"passed","Fri Jan 03 16:06:28 GMT 2025","Fri Jan 03 16:06:28 GMT 2025","11","","","","","","Attempt to create a book without being logged in","As a guest user
  I should not be able to create a new book using the API
  So that only authorized users can create books"
"passed","Fri Jan 03 16:06:27 GMT 2025","Fri Jan 03 16:06:27 GMT 2025","146","","","","","","Successfully create a new book","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Fri Jan 03 16:06:27 GMT 2025","Fri Jan 03 16:06:27 GMT 2025","185","","","","","","Retrieve all books","As an admin
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"passed","Fri Jan 03 16:06:28 GMT 2025","Fri Jan 03 16:06:28 GMT 2025","87","","","","","","Create a book with user level credentials","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"broken","Fri Jan 03 16:06:33 GMT 2025","Fri Jan 03 16:07:07 GMT 2025","34261","","","","","","User comments on a blog post and replies to their comment","As a user
  I want to view, comment, and reply on a blog post
  So that I can engage with the content and community"
"failed","Fri Jan 03 16:06:29 GMT 2025","Fri Jan 03 16:06:33 GMT 2025","3592","","","","","","User tries to add an ""Out of Stock"" product to the cart from the product list page","As a user  
  I want to be prevented from adding out-of-stock products to the cart  
  So that I do not mistakenly purchase unavailable items"
