"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jan 03 17:44:52 GMT 2025","Fri Jan 03 17:44:56 GMT 2025","3627","","","","","","User tries to add an ""Out of Stock"" product to the cart from the product list page","As a user  
  I want to be prevented from adding out-of-stock products to the cart  
  So that I do not mistakenly purchase unavailable items"
"passed","Fri Jan 03 17:46:10 GMT 2025","Fri Jan 03 17:46:19 GMT 2025","8634","","","","","","Add a single product to the wishlist","As a user,
    I want to add products to my wishlist 
    so I can review them later."
"passed","Fri Jan 03 17:44:50 GMT 2025","Fri Jan 03 17:44:51 GMT 2025","139","","","","","","Update a non-existing book ID","As an admin 
    I want to update a book using API
    So that the updated book is stored in the system"
"passed","Fri Jan 03 17:44:51 GMT 2025","Fri Jan 03 17:44:51 GMT 2025","141","","","","","","Update a book with existing book title","As an admin 
    I want to update a book using API
    So that the updated book is stored in the system"
"failed","Fri Jan 03 17:44:50 GMT 2025","Fri Jan 03 17:44:50 GMT 2025","90","","","","","","Create a book without an author","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Fri Jan 03 17:44:52 GMT 2025","Fri Jan 03 17:44:52 GMT 2025","178","","","","","","Update a book with book title containing leading and trailing whitespaces but an existing book title","As an admin 
    I want to update a book using API
    So that the updated book is stored in the system"
"passed","Fri Jan 03 17:44:49 GMT 2025","Fri Jan 03 17:44:50 GMT 2025","137","","","","","","Retrieve a specific book by ID","As an admin
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"passed","Fri Jan 03 17:44:51 GMT 2025","Fri Jan 03 17:44:51 GMT 2025","155","","","","","","Successfully update an existing book","As an admin 
    I want to update a book using API
    So that the updated book is stored in the system"
"passed","Fri Jan 03 17:44:52 GMT 2025","Fri Jan 03 17:44:52 GMT 2025","99","","","","","","Update the book with user level credentials","As a user
    I should not be able to update a book using the API
    So that only authorized users can update books"
"passed","Fri Jan 03 17:44:50 GMT 2025","Fri Jan 03 17:44:50 GMT 2025","120","","","","","","Successfully create a new book","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Fri Jan 03 17:44:50 GMT 2025","Fri Jan 03 17:44:50 GMT 2025","106","","","","","","Create a book with whitespace titles","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
