"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 03 07:43:54 GMT 2025","Fri Jan 03 07:43:54 GMT 2025","136","","","","","","Update a book with existing book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 07:44:29 GMT 2025","Fri Jan 03 07:44:32 GMT 2025","2556","","","","","","Successfully initiate a product return","As a user
  I want to initiate a product return using the UI
  So that the return is processed by the system"
"failed","Fri Jan 03 07:43:55 GMT 2025","Fri Jan 03 07:43:55 GMT 2025","135","","","","","","Update a book with an empty author name","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Fri Jan 03 07:43:54 GMT 2025","Fri Jan 03 07:43:54 GMT 2025","96","","","","","","Create a book with numbers in the author field","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Fri Jan 03 07:43:53 GMT 2025","Fri Jan 03 07:43:53 GMT 2025","96","","","","","","Create a book with whitespace titles","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Fri Jan 03 07:43:54 GMT 2025","Fri Jan 03 07:43:54 GMT 2025","134","","","","","","Update a non-existing book ID","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 07:43:54 GMT 2025","Fri Jan 03 07:43:54 GMT 2025","109","","","","","","Create a book with user level credentials","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Fri Jan 03 07:44:32 GMT 2025","Fri Jan 03 07:44:35 GMT 2025","3620","","","","","","Add a single product to the wishlist","As a user,
    I want to add products to my wishlist 
    so I can review them later."
"passed","Fri Jan 03 07:43:53 GMT 2025","Fri Jan 03 07:43:53 GMT 2025","129","","","","","","Retrieve a non-existent book by ID","As a user
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"passed","Fri Jan 03 07:43:53 GMT 2025","Fri Jan 03 07:43:53 GMT 2025","119","","","","","","Successfully create a new book","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Fri Jan 03 07:43:54 GMT 2025","Fri Jan 03 07:43:54 GMT 2025","90","","","","","","Create a book without an author","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Fri Jan 03 07:43:54 GMT 2025","Fri Jan 03 07:43:54 GMT 2025","33","","","","","","Attempt to create a book without being logged in","As a guest user
  I should not be able to create a new book using the API
  So that only authorized users can create books"
"failed","Fri Jan 03 07:43:55 GMT 2025","Fri Jan 03 07:43:55 GMT 2025","116","","","","","","Non-logged-in user access","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 07:43:53 GMT 2025","Fri Jan 03 07:43:54 GMT 2025","111","","","","","","Insert the same book multiple times","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Fri Jan 03 07:43:54 GMT 2025","Fri Jan 03 07:43:55 GMT 2025","140","","","","","","Successfully update an existing book","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 07:43:54 GMT 2025","Fri Jan 03 07:43:54 GMT 2025","190","","","","","","Update the book with user level credentials","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 07:43:53 GMT 2025","Fri Jan 03 07:43:53 GMT 2025","122","","","","","","Retrieve a specific book by ID","As a user
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"failed","Fri Jan 03 07:43:53 GMT 2025","Fri Jan 03 07:43:53 GMT 2025","125","","","","","","Retrieve a book by ID as a user","As a user
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
"passed","Fri Jan 03 07:44:27 GMT 2025","Fri Jan 03 07:44:29 GMT 2025","1633","","","","","","Successful registration with dynamic email","As a new user
  I want to register an account
  So that I can log in and use the platform"
"failed","Fri Jan 03 07:43:54 GMT 2025","Fri Jan 03 07:43:54 GMT 2025","135","","","","","","Update a non-existing book ID with a duplicate book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Fri Jan 03 07:43:55 GMT 2025","Fri Jan 03 07:43:55 GMT 2025","115","","","","","","Update a book with book title containing leading and trailing whitespaces but an existing book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 07:44:07 GMT 2025","Fri Jan 03 07:44:27 GMT 2025","19949","","","","","","Successfully checkout a cart","As a user
  I want to complete the checkout process
  So that I can purchase items in my cart"
"failed","Fri Jan 03 07:43:53 GMT 2025","Fri Jan 03 07:43:53 GMT 2025","95","","","","","","Create a book without a title","As an admin
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Fri Jan 03 07:43:55 GMT 2025","Fri Jan 03 07:43:55 GMT 2025","129","","","","","","Update a book with an author name containing not only letters(when numbers and symbols are also there)","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Fri Jan 03 07:44:00 GMT 2025","Fri Jan 03 07:44:07 GMT 2025","7967","","","","","","Add a product to the cart and verify in the shopping cart","I want to add a product to the cart,
  Verify the product is displayed in the shopping cart,
  And navigate back to the homepage,
  So that I can confirm the cart and navigation functionality work as expected."
"failed","Fri Jan 03 07:43:55 GMT 2025","Fri Jan 03 07:44:00 GMT 2025","4425","","","","","","User tries to add an ""Out of Stock"" product to the cart from the product list page",""
"passed","Fri Jan 03 07:43:52 GMT 2025","Fri Jan 03 07:43:53 GMT 2025","746","","","","","","Retrieve all books","As a user
  I want to retrieve books using the API
  So that I can view details of all books or a specific book"
