"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 26 12:14:22 GMT 2024","Thu Dec 26 12:14:22 GMT 2024","116","","","","","","Update a non-existing book ID","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Thu Dec 26 12:14:22 GMT 2024","Thu Dec 26 12:14:22 GMT 2024","112","","","","","","Create a book with whitespace titles","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Thu Dec 26 12:14:22 GMT 2024","Thu Dec 26 12:14:22 GMT 2024","94","","","","","","Create a book with user level credentials","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Thu Dec 26 12:14:22 GMT 2024","Thu Dec 26 12:14:22 GMT 2024","116","","","","","","Update the book with existing book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Thu Dec 26 12:14:22 GMT 2024","Thu Dec 26 12:14:22 GMT 2024","102","","","","","","Update the book with user level credentials","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Thu Dec 26 12:14:22 GMT 2024","Thu Dec 26 12:14:25 GMT 2024","3145","","","","","","Successfully initiate a product return","As a user
  I want to initiate a product return using the UI
  So that the return is processed by the system"
"failed","Thu Dec 26 12:14:21 GMT 2024","Thu Dec 26 12:14:22 GMT 2024","114","","","","","","Create a book without a title","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Thu Dec 26 12:14:22 GMT 2024","Thu Dec 26 12:14:22 GMT 2024","93","","","","","","Update a non-existing book ID with a duplicate book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Thu Dec 26 12:14:21 GMT 2024","Thu Dec 26 12:14:21 GMT 2024","712","","","","","","Successfully create a new book","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
