"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Dec 26 12:32:09 GMT 2024","Thu Dec 26 12:32:09 GMT 2024","122","","","","","","Create a book without a title","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Thu Dec 26 12:32:10 GMT 2024","Thu Dec 26 12:32:10 GMT 2024","123","","","","","","Update the book with existing book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Thu Dec 26 12:32:10 GMT 2024","Thu Dec 26 12:32:10 GMT 2024","105","","","","","","Update the book with user level credentials","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"failed","Thu Dec 26 12:32:10 GMT 2024","Thu Dec 26 12:32:10 GMT 2024","95","","","","","","Update a non-existing book ID with a duplicate book title","As a user 
I want to update a book using API
So that the updated book is stored in the system"
"passed","Thu Dec 26 12:32:10 GMT 2024","Thu Dec 26 12:32:14 GMT 2024","4638","","","","","","Successfully initiate a product return","As a user
  I want to initiate a product return using the UI
  So that the return is processed by the system"
"passed","Thu Dec 26 12:32:08 GMT 2024","Thu Dec 26 12:32:09 GMT 2024","763","","","","","","Successfully create a new book","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"passed","Thu Dec 26 12:32:09 GMT 2024","Thu Dec 26 12:32:09 GMT 2024","112","","","","","","Create a book with user level credentials","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"failed","Thu Dec 26 12:32:09 GMT 2024","Thu Dec 26 12:32:09 GMT 2024","133","","","","","","Create a book with whitespace titles","As a user
  I want to create a new book using the API
  So that the book is stored in the system"
"broken","Thu Dec 26 12:32:09 GMT 2024","Thu Dec 26 12:32:10 GMT 2024","118","","","","","","Update a non-existing book ID","As a user 
I want to update a book using API
So that the updated book is stored in the system"
